1,role,役割,0
2,roll,転がる，～を丸める,0
3,healthy,健康な,0
4,mammal,哺乳動物,0
5,produce,～を生産する，農産物,0
6,reproduce,～を再生する，繁殖する,0
7,suffer,苦しむ，害を受ける,0
8,lack,不足，～を欠いている,0
9,curious,好奇心の強い，奇妙な,0
10,however,しかし，どんなに～でも,0
11,nevertheless,それにもかかわらず,0
12,nonetheless,それにもかかわらず,0
13,ape,類人猿,0
14,mark,印・記号，～に印をつける,0
15,target,的，～をねらう,0
16,skin,皮膚,0
17,tooth,歯,0
18,decay,腐る，腐敗,0
19,area,地域，分野,0
20,bleed,出血する,0
21,plenty,たくさん,0
22,fresh,新しい，新鮮な,0
23,drug,薬，麻薬,0
24,amount,総額，量,0
25,sum,金額，合計,0
26,mind,精神，嫌がる，気をつける,0
27,definition,定義，限定,0
28,numerous,多数の,0
29,separate,～を分ける，～を引き離す,0
30,split,～を分ける，分裂する,0
31,isolate,～を孤立させる，～を隔離する,0
32,usual,いつもの,0
33,poison,毒（物）,0
34,carefully,注意深く，注意して,0
35,control,～を支配する，～を抑制する,0
36,discipline,訓練，しつけ，規律,0
37,alcohol,アルコール，酒,0
38,instance,実例，場合,0
39,instant,即刻の，即席の,0
40,depend,頼る，当てにする,0
41,history,歴史（学）,0
42,tie,きずな，～を結ぶ,0
43,bond,きずな，～をくっつける,0
44,culture,文化,0
45,cultivate,～を耕す,0
46,plant,植物，工場,0
47,biology,生物学,0
48,unique,特有の，唯一の,0
49,peculiar,奇妙な，特有の,0
50,matter,問題，事態,0
51,taste,味，好み，味がする,0
52,flavor,風味，趣,0
53,cause,～を引き起こす，原因,0
54,persuade,～を説得する,0
55,fact,事実,0
56,treat,～を扱う，治療する，おごり,0
57,belong,所属している,0
58,pick,選ぶ,0
59,wolf,オオカミ,0
60,raise,～を上げる，育てる,0
61,rear,後部,0
62,lift,～を持ち上げる，上がる,0
63,breed,子を産む，～を育てる,0
64,female,女性（の）,0
65,birth,誕生，出産,0
66,dawn,夜明け,0
67,dig,掘る，突っ込む,0
68,hole,穴，欠点,0
69,gap,割れ目,0
70,within,～の内部に，～の範囲内で,0
71,while,～する間に，～の間ずっと,0
72,moment,瞬間，時,0
73,hunt,狩る，捜す,0
74,instead,その代わりに,0
75,behind,（の）後に，（～よりも）劣って,0
76,guard,～を守る，警備（員）,0
77,physical,身体の，物理的な,0
78,manual,手の，説明書,0
79,gesture,身振り,0
80,meaning,意味，意図,0
81,misunderstand,誤解する,0
82,signal,合図，信号（機）,0
83,embarrass,～を困らせる,0
84,foreign,外国の，異質の,0
85,alien,外国（人）の，異質な，宇宙人,0
86,domestic,国内の，家庭の,0
87,overseas,海外へ（で），海外の,0
88,count,～を数える，重要である,0
89,countless,無数の,0
90,counterpart,（対の）片方，似たもの,0
91,calculate,～を計算する，～と見積もる,0
92,index,索引，目録,0
93,common,普通の，共通の,0
94,familiar,なじみのある，精通した,0
95,mutual,相互の，共通の,0
96,puzzle,～を困らせる，パズル,0
97,mystery,不思議，神秘,0
98,reply,答える,0
99,effective,効果的な,0
100,efficient,効率的な，有能な,0
101,mask,～を隠す，マスク,0
102,feeling,感情，感じ，感覚,0
103,psychologist,心理学者,0
104,philosophy,哲学,0
105,claim,～を主張する，～を要求する,0
106, false,間違っている，うその,1
107,fake,偽物（の）,0
108,muscle,筋肉,0
109,surround,～を囲む,0
110,tight,きつい，しっかり固定した,0
111,cheek,ほお,0
112,pull,引く,0
113,lip,唇,0
114,upward,上に向かって，上方への,0
115,forward,前に,0
116,slightly,わずかに,0
117,subtle,（違いなどが）微妙な,0
118,perhaps,ひょっとすると，だいたい,0
119,less,より少なく〔い〕,0
120,least,最小（の）,0
121,temperature,温度，体温,0
122,seem,（～のように）思われる,0
123,confuse,～を当惑させる,0
124,describe,～を言い表す，描く,0
125,respond,反応する，答える,0
126,correspond,合致する，相当する,0
127,simple,単純な，簡単な,0
128,complicated,複雑な,0
129,complex,複雑な，複合的な,0
130,explanation,説明,0
131,nerve,神経,0
132,neuron,神経単位（ニューロン）,0
133,react,反応する,0
134,chemical,化学製品，化学の,0
135,rise,上昇，上がる，起きる,0
136,soar,急上昇する,0
137,expression,表現，表情,0
138,metaphor,隠喩，象徴,0
139,therefore,したがって,0
140,reflect,反射する，反映する,0
141,clothes,衣服,0
142,convenient,便利な，都合のよい,0
143,though,～にもかかわらず,0
144,discrimination,差別，区別,0
145,prejudice,先入観，偏見,0
146,bias,偏見，先入観,0
147,reason,理由，道理,0
148,logic,論理（学）,0
149,rational,理性的な，合理的な,0
150,past,過去，過去の,0
151,quite,かなり,0
152,pretty,かなり，かわいらしい,0
153,expensive,高価な,0
154,rich,裕福な，豊富な,0
155,poor,貧しい，かわいそうな,0
156,afford,～する余裕がある,0
157,wealthy,裕福な,0
158,servant,召使い,0
159,slave,奴隷,0
160,master,主人，～を習得する,0
161,dress,～に衣服を着せる，ドレス,0
162,regard,AをBとみなす，～を尊重する,0
163,symbol,象徴，記号,0
164,power,権力，能力,0
165,dye,染料，染まる〔染める〕,0
166,elegant,上品な,0
167,polite,礼儀正しい,0
168,rude,無礼な,0
169,ancient,古代の,0
170,coast,沿岸，海岸,0
171,shore,岸,0
172,Mediterranean,地中海の,0
173,discover,～を発見する，～に気づく,0
174,finding,発見（物），報告,0
175,shell,（貝）殻,0
176,unlike,～と異なって,0
177,liquid,液体（の）,0
178,solid,固体（の）,0
179,contact,接触，連絡,0
