1,improve,を向上させる,0
2,relate,を関連付ける,0
3,provide,を供給する,0
4,consider,を見なす,0
5,include,を含む,0
6,concern,心配する,0
7,involve,を関与させる,0
8,produce,を生産する,0
9,allow,を許す,0
10,require,を要求する,0
11,appear,…のように見える,0
12,tend,傾向がある,0
13,agree,意見が一致する,0
14,describe,について述べる,0
15,add,を加える,0
16,depend,頼る,0
17,encourage,を励ます,0
18,exist,存在する,0
19,reduce,を減らす,0
20,adapt,適応する,0
21,compare,を比較する,0
22,increase,増加する,0
23,suggest,を提案する,0
24,cost,がかかる,0
25,share,を共有する,0
26,wonder,かなと思う,0
27,argue,と主張する,0
28,realize,に気づく,0
29,control,を管理する,0
30,affect,に影響を及ぼす,0
31,find,とわかる,0
32,notice,に気づく,0
33,avoid,を避ける,0
34,force,に強いる,0
35,offer,を提供する、申し出る,0
36,demand,を要求する,0
37,claim,と主張する,0
38,deal,を処理する,0
39,store,を保存する,0
40,complete,を完成させる,0
41,value,価値,0
42,benefit,利益、恩恵,0
43,opportunity,機会,0
44,quality,質,0
45,author,著者,0
46,technology,科学技術,0
47,environment,環境,0
48,view,見解,0
49,situation,状況,0
50,effect,影響、効果,0
51,influence,影響（力）,0
52,term,(専門)用語,0
53,skill,技能,0
54,theory,理論、学説,0
55,issue,問題(点),0
56,subject,話題,0
57,article,記事,0
58,statement,主張,0
59,experiment,実験,0
60,figure,数字,0
61,evidence,証拠,0
62,industry,産業,0
63,economy,経済,0
64,medicine,医薬,0
65,matter,問題,0
66,material,材料,0
67,species,(生物の)種,0
68,practice,（社会の）慣習,0
69,focus,焦点,0
70,memory,記憶(力),0
71,right,権利,0
72,accord,一致,0
73,thought,考え,0
74,interest,興味,0
75,account,説明,0
76,cause,原因,0
77,sound,音,0
78,individual,個人,0
79,certain,確信して,0
80,possible,可能な,0
81,likely,ありそうな,0
82,available,手に入る,0
83,social,社会的な,0
84,public,公の,0
85,physical,身体の,0
86,scientific,科学的な,0
87,common,不通の,0
88,general,全般的な,0
89,particular,特定の,0
90,similar,似ている,0
91,various,さまざまな,0
92,native,出生地の,0
93,patient,忍耐強い,0
94,recent,最近の,0
95,even,…さえ,0
96,yet,(文頭で)それでも,0
97,rather,かなり,0
98,instead,その代わりに,0
99,simultaneously,同時に,0
100,each,それぞれ,0
101,challenge,に意義を唱える,0
102,determine,を決定する,0
103,manage,をどうにか成し遂げる,0
104,maintain,を維持する,0
105,refer,言及する,0
106,approach,に近づく,0
107,advance,進歩する,0
108,express,を表現する,0
109,spread,を広める,0
110,occur,起こる,0
111,observe,に気づく,0
112,recognize,を識別できる,0
113,suppose,と思う,0
114,regard,を見なす,0
115,treat,を扱う,0
116,search,捜す,0
117,prove,を証明する,0
118,establish,を設立する,0
119,mention,に言及する,0
120,represent,を表す,0
121,prefer,の方を好む,0
122,apply,申し込む,0
123,seek,を追い求める,0
124,publish,を出版する,0
125,perform,を行う,0
126,gain,を獲得する,0
127,fit,適合する,0
128,contain,を含む,0
129,supply,を供給する,0
130,prepare,を準備する,0
131,bear,に耐える,0
132,prevent,を妨げる,0
133,object,反対する,0
134,decline,衰退する,0
135,replace,に取って代わる,0
136,connect,をつなぐ,0
137,attend,に出席する,0
138,survive,生き延びる,0
139,respect,を尊敬する,0
140,waste,を浪費する,0
141,advantage,利点,0
142,resource,資源,0
143,medium,(情報伝達の)媒体,0
144,method,方法,0
145,attitude,考え方,0
146,structure,構造,0
147,function,機能,0
148,feature,特徴,0
